ts,station_id,event_type,details
1236,3,start,"{'car_id': 15, 'proc_time': 87}"
1239,5,finish,"{'car_id': 13, 'to': 6}"
1240,6,start,"{'car_id': 13, 'proc_time': 51}"
1247,4,finish,"{'car_id': 14, 'to': 5}"
1248,5,start,"{'car_id': 14, 'proc_time': 50}"
1250,7,start,"{'car_id': 11, 'proc_time': 71}"
1257,3,finish,"{'car_id': 15, 'to': 4}"
1258,4,start,"{'car_id': 15, 'proc_time': 90}"
1261,6,finish,"{'car_id': 13, 'to': 7}"
1264,2,finish,"{'car_id': 16, 'to': 3}"
1265,3,start,"{'car_id': 16, 'proc_time': 57}"
1266,0,finish,"{'car_id': 3, 'to': 1}"
1266,0,start,"{'car_id': 4, 'proc_time': 69}"
1266,1,finish,"{'car_id': 17, 'to': 2}"
1266,1,start,"{'car_id': 18, 'proc_time': 59}"
1267,2,start,"{'car_id': 17, 'proc_time': 71}"
1269,5,finish,"{'car_id': 14, 'to': 6}"
1270,6,start,"{'car_id': 14, 'proc_time': 43}"
1278,7,finish,"{'car_id': 11, 'to': 8}"
1278,7,start,"{'car_id': 12, 'proc_time': 82}"
1281,12,quality_fail,{'severity': 0.06936271270248129}
1282,3,finish,"{'car_id': 16, 'to': 4}"
1287,4,finish,"{'car_id': 15, 'to': 5}"
1287,4,start,"{'car_id': 16, 'proc_time': 85}"
1288,5,start,"{'car_id': 15, 'proc_time': 46}"
1288,6,quality_fail,{'severity': 0.12372697715378894}
1288,6,finish,"{'car_id': 14, 'to': 7}"
1295,12,quality_fail,{'severity': 0.05267573622388455}
1296,0,finish,"{'car_id': 4, 'to': 1}"
1296,0,start,"{'car_id': 5, 'proc_time': 46}"
1296,1,finish,"{'car_id': 18, 'to': 2}"
1296,1,start,"{'car_id': 19, 'proc_time': 62}"
1300,2,finish,"{'car_id': 17, 'to': 3}"
1300,2,start,"{'car_id': 18, 'proc_time': 62}"
1301,3,start,"{'car_id': 17, 'proc_time': 81}"
1308,5,finish,"{'car_id': 15, 'to': 6}"
1308,7,finish,"{'car_id': 12, 'to': 8}"
1308,7,start,"{'car_id': 13, 'proc_time': 74}"
1308,15,breakdown,{'downtime': 135}
1309,6,start,"{'car_id': 15, 'proc_time': 70}"
1315,4,finish,"{'car_id': 16, 'to': 5}"
1316,5,start,"{'car_id': 16, 'proc_time': 59}"
1321,3,finish,"{'car_id': 17, 'to': 4}"
1322,4,start,"{'car_id': 17, 'proc_time': 102}"
1327,0,finish,"{'car_id': 5, 'to': 1}"
1327,0,start,"{'car_id': 6, 'proc_time': 54}"
1327,1,finish,"{'car_id': 19, 'to': 2}"
1327,1,start,"{'car_id': 0, 'proc_time': 57}"
1330,2,finish,"{'car_id': 18, 'to': 3}"
1330,2,start,"{'car_id': 19, 'proc_time': 70}"
1331,3,start,"{'car_id': 18, 'proc_time': 88}"
1332,12,quality_fail,{'severity': 0.17867274688277124}
1334,6,finish,"{'car_id': 15, 'to': 7}"
1336,7,finish,"{'car_id': 13, 'to': 8}"
1336,7,start,"{'car_id': 14, 'proc_time': 68}"
1339,5,finish,"{'car_id': 16, 'to': 6}"
1340,6,start,"{'car_id': 16, 'proc_time': 69}"
1348,31,breakdown,{'downtime': 761}
1352,3,finish,"{'car_id': 18, 'to': 4}"
1353,4,finish,"{'car_id': 17, 'to': 5}"
1353,4,start,"{'car_id': 18, 'proc_time': 78}"
1354,5,start,"{'car_id': 17, 'proc_time': 52}"
1356,0,finish,"{'car_id': 6, 'to': 1}"
1356,0,start,"{'car_id': 7, 'proc_time': 49}"
1356,1,finish,"{'car_id': 0, 'to': 2}"
1356,1,start,"{'car_id': 1, 'proc_time': 85}"
1362,2,finish,"{'car_id': 19, 'to': 3}"
1362,2,start,"{'car_id': 0, 'proc_time': 75}"
1363,3,start,"{'car_id': 19, 'proc_time': 63}"
1363,7,finish,"{'car_id': 14, 'to': 8}"
1363,7,start,"{'car_id': 15, 'proc_time': 65}"
1365,6,finish,"{'car_id': 16, 'to': 7}"
1368,42,breakdown,{'downtime': 180}
1375,5,finish,"{'car_id': 17, 'to': 6}"
1376,6,start,"{'car_id': 17, 'proc_time': 56}"
1380,4,finish,"{'car_id': 18, 'to': 5}"
1381,3,finish,"{'car_id': 19, 'to': 4}"
1381,5,start,"{'car_id': 18, 'proc_time': 60}"
1382,4,start,"{'car_id': 19, 'proc_time': 95}"
1389,7,finish,"{'car_id': 15, 'to': 8}"
1389,7,start,"{'car_id': 16, 'proc_time': 82}"
1396,2,finish,"{'car_id': 0, 'to': 3}"
1397,3,start,"{'car_id': 0, 'proc_time': 77}"
1398,6,finish,"{'car_id': 17, 'to': 7}"
1399,0,finish,"{'car_id': 7, 'to': 1}"
1399,0,start,"{'car_id': 8, 'proc_time': 52}"
1399,1,finish,"{'car_id': 1, 'to': 2}"
1399,1,start,"{'car_id': 2, 'proc_time': 81}"
1400,2,start,"{'car_id': 1, 'proc_time': 84}"
1404,5,finish,"{'car_id': 18, 'to': 6}"
1405,6,start,"{'car_id': 18, 'proc_time': 63}"
1407,8,start,"{'car_id': 11, 'proc_time': 91}"
1412,4,finish,"{'car_id': 19, 'to': 5}"
1413,5,start,"{'car_id': 19, 'proc_time': 58}"
1417,3,finish,"{'car_id': 0, 'to': 4}"
1418,4,start,"{'car_id': 0, 'proc_time': 109}"
1419,7,finish,"{'car_id': 16, 'to': 8}"
1419,7,start,"{'car_id': 17, 'proc_time': 57}"
1429,6,finish,"{'car_id': 18, 'to': 7}"
1436,5,finish,"{'car_id': 19, 'to': 6}"
1437,2,finish,"{'car_id': 1, 'to': 3}"
1437,6,start,"{'car_id': 19, 'proc_time': 69}"
1438,3,start,"{'car_id': 1, 'proc_time': 83}"
1440,0,finish,"{'car_id': 8, 'to': 1}"
1440,0,start,"{'car_id': 9, 'proc_time': 46}"
1440,1,finish,"{'car_id': 2, 'to': 2}"
1440,1,start,"{'car_id': 3, 'proc_time': 83}"
1441,2,start,"{'car_id': 2, 'proc_time': 82}"
1447,7,finish,"{'car_id': 17, 'to': 8}"
1447,7,start,"{'car_id': 18, 'proc_time': 83}"
1447,8,finish,"{'car_id': 11, 'to': 9}"
1447,8,start,"{'car_id': 12, 'proc_time': 74}"
1448,9,start,"{'car_id': 11, 'proc_time': 87}"
1451,4,finish,"{'car_id': 0, 'to': 5}"
1452,5,start,"{'car_id': 0, 'proc_time': 42}"
1457,12,quality_fail,{'severity': 0.2344219044048451}
1458,3,finish,"{'car_id': 1, 'to': 4}"
1459,4,start,"{'car_id': 1, 'proc_time': 86}"
1462,6,finish,"{'car_id': 19, 'to': 7}"
1470,5,finish,"{'car_id': 0, 'to': 6}"
1471,6,start,"{'car_id': 0, 'proc_time': 50}"
1472,9,finish,"{'car_id': 11, 'to': 10}"
1473,10,start,"{'car_id': 11, 'proc_time': 50}"
