t_abs,event,station_id,to,timestamp
1207,STATE_CHANGE,5,RUN,2025-09-13T10:19:13.695269
1210,STATE_CHANGE,4,IDLE,2025-09-13T10:19:16.695269
1213,STATE_CHANGE,6,RUN,2025-09-13T10:19:19.695269
1214,STATE_CHANGE,1,RUN,2025-09-13T10:19:20.695269
1217,STATE_CHANGE,7,IDLE,2025-09-13T10:19:23.695269
1227,STATE_CHANGE,7,RUN,2025-09-13T10:19:33.695269
1229,STATE_CHANGE,4,RUN,2025-09-13T10:19:35.695269
1231,STATE_CHANGE,3,IDLE,2025-09-13T10:19:37.695269
1238,STATE_CHANGE,8,IDLE,2025-09-13T10:19:44.695269
1241,STATE_CHANGE,3,RUN,2025-09-13T10:19:47.695269
1245,STATE_CHANGE,5,IDLE,2025-09-13T10:19:51.695269
1250,STATE_CHANGE,2,IDLE,2025-09-13T10:19:56.695269
1252,STATE_CHANGE,1,IDLE,2025-09-13T10:19:58.695269
1257,STATE_CHANGE,7,IDLE,2025-09-13T10:20:03.695269
1257,STATE_CHANGE,8,RUN,2025-09-13T10:20:03.695269
1259,STATE_CHANGE,6,IDLE,2025-09-13T10:20:05.695269
1261,STATE_CHANGE,4,IDLE,2025-09-13T10:20:07.695269
1264,STATE_CHANGE,7,RUN,2025-09-13T10:20:10.695269
1267,STATE_CHANGE,1,RUN,2025-09-13T10:20:13.695269
1267,STATE_CHANGE,5,RUN,2025-09-13T10:20:13.695269
1268,STATE_CHANGE,4,RUN,2025-09-13T10:20:14.695269
1273,STATE_CHANGE,6,RUN,2025-09-13T10:20:19.695269
1276,STATE_CHANGE,2,RUN,2025-09-13T10:20:22.695269
1280,STATE_CHANGE,3,IDLE,2025-09-13T10:20:26.695269
1293,STATE_CHANGE,8,IDLE,2025-09-13T10:20:39.695269
1294,STATE_CHANGE,3,RUN,2025-09-13T10:20:40.695269
1300,STATE_CHANGE,4,IDLE,2025-09-13T10:20:46.695269
1301,STATE_CHANGE,7,IDLE,2025-09-13T10:20:47.695269
1302,STATE_CHANGE,5,IDLE,2025-09-13T10:20:48.695269
1303,STATE_CHANGE,8,RUN,2025-09-13T10:20:49.695269
1305,STATE_CHANGE,6,IDLE,2025-09-13T10:20:51.695269
1309,STATE_CHANGE,1,IDLE,2025-09-13T10:20:55.695269
1312,STATE_CHANGE,7,RUN,2025-09-13T10:20:58.695269
1319,STATE_CHANGE,4,RUN,2025-09-13T10:21:05.695269
1319,STATE_CHANGE,5,RUN,2025-09-13T10:21:05.695269
1323,STATE_CHANGE,6,RUN,2025-09-13T10:21:09.695269
1330,STATE_CHANGE,1,RUN,2025-09-13T10:21:16.695269
1330,STATE_CHANGE,3,IDLE,2025-09-13T10:21:16.695269
1333,STATE_CHANGE,2,IDLE,2025-09-13T10:21:19.695269
1346,STATE_CHANGE,7,IDLE,2025-09-13T10:21:32.695269
1348,STATE_CHANGE,2,RUN,2025-09-13T10:21:34.695269
1349,STATE_CHANGE,3,RUN,2025-09-13T10:21:35.695269
1350,STATE_CHANGE,8,IDLE,2025-09-13T10:21:36.695269
1351,STATE_CHANGE,5,IDLE,2025-09-13T10:21:37.695269
1355,STATE_CHANGE,7,RUN,2025-09-13T10:21:41.695269
1359,STATE_CHANGE,6,IDLE,2025-09-13T10:21:45.695269
1360,STATE_CHANGE,8,RUN,2025-09-13T10:21:46.695269
1362,STATE_CHANGE,5,RUN,2025-09-13T10:21:48.695269
1363,STATE_CHANGE,6,RUN,2025-09-13T10:21:49.695269
1370,STATE_CHANGE,4,IDLE,2025-09-13T10:21:56.695269
1381,STATE_CHANGE,1,IDLE,2025-09-13T10:22:07.695269
